Company Name,Stock Symbol,Sector,Company Description
Apple Inc.,AAPL,Information Technology,"Apple designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories. The company is known for its innovative products like the iPhone, Mac, iPad, and services including the App Store, iCloud, and Apple Music."
Microsoft Corporation,MSFT,Information Technology,"Microsoft develops, licenses, and supports software, services, devices, and solutions worldwide. Its products include Windows operating systems, Office productivity suite, Azure cloud platform, and gaming consoles like Xbox."
Amazon.com Inc.,AMZN,Consumer Discretionary,"Amazon operates as an online retailer and cloud services provider. The company offers e-commerce, digital streaming, cloud computing through AWS, and artificial intelligence services like Alexa."
NVIDIA Corporation,NVDA,Information Technology,"NVIDIA designs and manufactures graphics processing units (GPUs) for gaming, professional visualization, data centers, and automotive markets. The company is a leader in AI computing hardware and software."
JPMorgan Chase & Co.,JPM,Financials,"JPMorgan Chase is a financial services firm offering investment banking, financial services for consumers and businesses, financial transaction processing, and asset management globally."
Johnson & Johnson,JNJ,Health Care,"Johnson & Johnson develops, manufactures, and sells pharmaceutical products, medical devices, and consumer packaged goods. The company operates in three segments: Consumer Health, Pharmaceutical, and Medical Devices."
Tesla Inc.,TSLA,Consumer Discretionary,"Tesla designs, develops, manufactures, and sells electric vehicles, energy generation and storage systems. The company also offers vehicle service centers, supercharger stations, and solar energy systems."
Alphabet Inc.,GOOGL,Communication Services,"Alphabet is the parent company of Google, offering internet search, online advertising, cloud computing, software, hardware, and other digital services. Key products include Google Search, YouTube, and Google Cloud."
Pfizer Inc.,PFE,Health Care,"Pfizer discovers, develops, manufactures, and sells biopharmaceutical products worldwide. The company offers medicines and vaccines in oncology, cardiology, endocrinology, and neurology therapeutic areas."
Bank of America Corp.,BAC,Financials,"Bank of America provides banking, investing, asset management, and other financial services to individuals, businesses, and institutional investors. It operates globally with a focus on consumer banking and wealth management."
UnitedHealth Group Inc.,UNH,Health Care,"UnitedHealth Group operates as a diversified health care company, offering health care coverage, software, and data analytics. It provides health benefits through UnitedHealthcare and health services through Optum."
ExxonMobil Corporation,XOM,Energy,"ExxonMobil explores, produces, and sells crude oil and natural gas. The company also manufactures and markets petroleum products, commodity petrochemicals, and specialty products."
Visa Inc.,V,Financials,"Visa operates as a payments technology company, facilitating electronic payments among consumers, merchants, financial institutions, and government entities through its processing network."
Meta Platforms Inc.,META,Communication Services,"Meta builds technologies that help people connect, find communities, and grow businesses. Its products include Facebook, Instagram, WhatsApp, and virtual reality hardware and software."
Berkshire Hathaway Inc.,BRK.B,Financials,"Berkshire Hathaway is a holding company owning subsidiaries in insurance, freight rail transportation, utilities, manufacturing, and retail. Led by Warren Buffett, it also maintains significant equity investments."
Moderna Inc.,MRNA,Health Care,"Moderna is a biotechnology company pioneering messenger RNA (mRNA) therapeutics and vaccines. The company develops transformative medicines based on mRNA for infectious diseases, oncology, and rare diseases."
Salesforce Inc.,CRM,Information Technology,"Salesforce provides customer relationship management (CRM) software and applications focused on sales, customer service, marketing automation, analytics, and application development."
Netflix Inc.,NFLX,Communication Services,"Netflix operates as an entertainment services company, offering TV series, documentaries, and feature films across various genres and languages through its streaming platform available globally."
Adobe Inc.,ADBE,Information Technology,"Adobe provides digital media and marketing solutions. Its Creative Cloud offers tools for creative professionals, while Document Cloud provides PDF solutions. Experience Cloud helps businesses manage customer experiences."
Chevron Corporation,CVX,Energy,"Chevron engages in integrated energy, chemicals, and petroleum operations worldwide. The company explores, produces, and transports crude oil and natural gas, and refines, markets, and distributes fuels."
Oracle Corporation,ORCL,Information Technology,"Oracle provides enterprise software products and cloud services. Its offerings include database management systems, enterprise resource planning (ERP) software, and cloud infrastructure services."
Walmart Inc.,WMT,Consumer Staples,"Walmart operates retail stores, wholesale clubs, and e-commerce websites globally. The company offers a wide assortment of merchandise and services at everyday low prices in various formats."
Coca-Cola Company,KO,Consumer Staples,"Coca-Cola manufactures, markets, and sells nonalcoholic beverages worldwide. The company offers sparkling soft drinks, water, sports drinks, coffee, tea, juice, and plant-based beverages."
Procter & Gamble Co.,PG,Consumer Staples,"Procter & Gamble provides branded consumer packaged goods globally. Its products include beauty and grooming products, health care items, fabric and home care products, and baby, feminine, and family care products."
Home Depot Inc.,HD,Consumer Discretionary,"Home Depot operates as a home improvement retailer, selling building materials, home improvement products, lawn and garden products, and providing various services including installation and tool rental."
