name,symbol,description,sector
PEPSICO INC,PEP,"PepsiCo, Inc. engages in the manufacture, marketing, distribution, and sale of beverages, food, and snacks. It operates through the following business segments: Frito-Lay North America (FLNA), Quaker Foods North America (QFNA), PepsiCo Beverages North America (PBNA), Latin America (LatAm), Europe, Africa, Middle East, and South Asia (AMESA), and Asia Pacific, Australia and New Zealand, and China Region (APAC). The FLNA segment consists of branded convenient food businesses in the United States and Canada. The QFNA segment includes cereals, rice, and pasta under the Quaker, Pearl Milling Company, Quaker Chewy, Cap'n Crunch, Life, and Rice-A-Roni brands. The PBNA segment is composed of beverage concentrates, fountain syrups, and finished goods under various beverage brands such as Pepsi, Gatorade, Mountain Dew, Diet Pepsi, Aquafina, Diet Mountain Dew, Sierra Mist, and Mug. The LatAm segment covers beverage, food, and snack businesses in the Latin American region. The Europe segment offers beverage, food, and snack goods in Europe and Sub-Saharan Africa regions. The AMESA segment deals with all beverage and convenient food businesses in Africa, the Middle East, and South Asia. The APAC segment refers to all business operations in the Asia Pacific, Australia and New Zealand, and China region. The company was founded by Donald M. Kendall, Sr. and Herman W. Lay in 1965 and is headquartered in Purchase, NY.",Consumer Staples
UNITEDHEALTH GROUP INC,UNH,"UnitedHealth Group, Inc. engages in the provision of health care coverage, software, and data consultancy services. It operates through the following segments: UnitedHealthcare, OptumHealth, OptumInsight, and OptumRx. The UnitedHealthcare segment utilizes Optum's capabilities to help coordinate patient care, improve affordability of medical care, analyze cost trends, manage pharmacy benefits, work with care providers more effectively, and create a simpler consumer experience. The OptumHealth segment provides health and wellness care, serving the broad health care marketplace including payers, care providers, employers, government, life sciences companies, and consumers. The OptumInsight segment focuses on data and analytics, technology, and information to help major participants in the healthcare industry. The OptumRx segment offers pharmacy care services. The company was founded by Richard T. Burke in January 1977 and is headquartered in Eden Prairie, MN.",Health Care
AMAZON COM INC,AMZN,"Amazon.com, Inc. is a multinational technology company, which engages in the provision of online retail shopping services. It operates through the following segments: North America, International, and Amazon Web Services (AWS). The North America segment offers retail sale of consumer products, including from sellers, advertising, and subscriptions services through North America-focused online and physical stores. The International segment focuses on retail sale of consumer products, including from sellers, advertising, and subscription services through internationally-focused online stores. The AWS segment is composed of global sales of compute, storage, database, and other services for start-ups, enterprises, government agencies, and academic institutions. The company was founded by Jeffrey P. Bezos in July 1994 and is headquartered in Seattle, WA.",Consumer Discretionary
ALPHABET INC,GOOGL,"Alphabet, Inc. is a holding company, which engages in software, health care, transportation, and other technologies. It operates through the following segments: Google Services, Google Cloud, and Other Bets. The Google Services segment includes products and services, such as ads, Android, Chrome, devices, Google Maps, Google Play, Search, and YouTube. The Google Cloud segment refers to infrastructure and platform services, collaboration tools, and other services for enterprise customers. The Other Bets segment relates to the sale of healthcare-related services and internet services. The company was founded by Lawrence E. Page and Sergey Mikhaylovich Brin on October 2, 2015 and is headquartered in Mountain View, CA.",Communication Services
MICROSOFT CORP,MSFT,"Microsoft Corp. engages in the development and support of software, services, devices, and solutions. It operates through the following segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment is composed of products and services relating to productivity, communication, and information services such as Office Commercial, Office Consumer, LinkedIn, and Dynamics business solutions. The Intelligent Cloud segment consists of public, private, and hybrid server products and cloud services for businesses and developers, as well as enterprise and partner services. The More Personal Computing segment refers to products and services including Windows operating system, Windows cloud services, Surface, HoloLens, personal computer accessories, Xbox hardware, Xbox Cloud Gaming, Microsoft News, and Microsoft Edge. The company was founded by Paul Gardner Allen and William Henry Gates, III in 1975 and is headquartered in Redmond, WA.",Information Technology
NVIDIA CORP,NVDA,"NVIDIA Corp. engages in the design and manufacture of computer graphics processors, chipsets, and related multimedia software. It operates through the following segments: Graphics Processing Unit (GPU) and Compute & Networking. The Graphics segment includes GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, Quadro and NVIDIA RTX GPUs for enterprise workstation graphics, virtual GPU, or vGPU, software for cloud-based visual and virtual computing, automotive platforms for infotainment systems, and Omniverse Enterprise software for building and operating metaverse and 3D internet applications. The Compute & Networking segment consists of Data Center accelerated computing platforms and end-to-end networking platforms including Quantum for InfiniBand and Spectrum for Ethernet, NVIDIA DRIVE automated-driving platform and automotive development agreements, Jetson robotics and other embedded platforms, NVIDIA AI Enterprise and other software, and DGX Cloud software and services. The company was founded by Jen Hsun Huang, Chris A. Malachowsky, and Curtis R. Priem in April 1993 and is headquartered in Santa Clara, CA.",Information Technology
META PLATFORMS INC,META,"Meta Platforms, Inc. engages in the development of social media applications. It builds technology that helps people connect and share, find communities, and grow businesses. It operates through the Family of Apps (FoA) and Reality Labs (RL) segments. The FoA segment consists of Facebook, Instagram, Messenger, WhatsApp, and other services. The RL segment includes augmented, mixed and virtual reality related consumer hardware, software, and content. The company was founded by Mark Elliot Zuckerberg, Dustin Moskovitz, Chris R. Hughes, Andrew McCollum, and Eduardo P. Saverin on February 4, 2004, and is headquartered in Menlo Park, CA.",Communication Services
BERKSHIRE HATHAWAY INC,BRK.B,"Berkshire Hathaway, Inc. is a holding company, which engages in the provision of property and casualty insurance and reinsurance, utilities and energy, freight rail transportation, finance, manufacturing, and retailing services. It operates through the following segments: Insurance, Burlington Northern Santa Fe, LLC (BNSF), Berkshire Hathaway Energy (BHE), Pilot Travel Centers (PTC), Manufacturing, McLane, and Service and Retailing. The Insurance segment includes the underwriting of GEICO, Berkshire Hathaway Primary Group, and Berkshire Hathaway Reinsurance Group. The BNSF segment involves the operation of railroad systems. The BHE segment focuses on regulated electric and gas utility, power generation and distribution, and real estate brokerage activities. The PTC segment consists of managing travel centers and marketing of wholesale fuel. The Manufacturing segment refers to industrial, consumer and building products, home building, and related financial services. The McLane segment covers the wholesale distribution of groceries and non-food items. The Service and Retailing segment relates to the provision of shared aircraft ownership programs, aviation pilot training, electronic components distribution, retailing businesses, automobile dealerships and trailer, and furniture leasing services. The company was founded by Oliver Chace in 1839 and is headquartered in Omaha, NE.",Financials
MERCK & CO INC,MRK,"Merck & Co., Inc. is a health care company, which engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products. It operates through the following segments: Pharmaceutical, Animal Health, and Other. The Pharmaceutical segment includes human health pharmaceutical and vaccine products. The Animal Health segment discovers, develops, manufactures, and markets animal health products, such as pharmaceutical and vaccine products, for the prevention, treatment and control of disease in livestock, and companion animal species. The Other segment consists of sales for the non-reportable segments of healthcare services. The company was founded in 1891 and is headquartered in Rahway, NJ.",Health Care
NOVO NORDISK AS,NVO,"Novo Nordisk A/S is a global healthcare company, which engages in the discovery, development, manufacturing and marketing of pharmaceutical products. It operates through the Diabetes and Obesity Care, and Rare Disease segments. The Diabetes and Obesity Care segment includes diabetes, obesity, cardiovascular, and emerging therapy areas. The Rare Disease segment refers to rare blood disorders, rare endocrine disorders, and hormone replacement therapy. The company was founded by Harald Pedersen and Thorvald Pedersen in 1923 is headquartered in Bagsværd, Denmark.",Health Care
ADVANCED MICRO DEVICES INC,AMD,"Advanced Micro Devices, Inc. engages in the provision of semiconductor businesses. It operates through the following segments: Data Center, Client, Gaming, and Embedded. The Data Center segment includes server-class CPUs, GPUs, AI accelerators, DPUs, FPGAs, SmartNICs, and Adaptive SoC products. The Client segment refers to the computing platforms, which are a collection of technologies that are designed to work together to provide a more complete computing solution. The Gaming segment is a fundamental component across many products and can be found in APU, GPU, SoC or a combination of a discrete GPU with another product working in tandem. The Embedded segment focuses on the embedded CPUs, GPUs, APUs, FPGAs, and Adaptive SoC products. The company was founded by W. J. Sanders III on May 1, 1969 and is headquartered in Santa Clara, CA.",Information Technology
APPLE INC,AAPL,"Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other varieties of related services. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, Mac, iPad, AirPods, Apple TV, Apple Watch, Beats products, AppleCare, iCloud, digital content stores, streaming, and licensing services. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak in April 1976 and is headquartered in Cupertino, CA.",Information Technology
CHEVRON CORP,CVX,"Chevron Corp. engages in the provision of administrative, financial management, and technology support for energy and chemical operations. It operates through the Upstream and Downstream segments. The Upstream segment consists of the exploration, development, and production of crude oil and natural gas, the liquefaction, transportation, and regasification associated with liquefied natural gas, the transporting of crude oil by major international oil export pipelines, the processing, transporting, storage, and marketing of natural gas, and a gas-to-liquids plant. The Downstream segment consists of the refining of crude oil into petroleum products, the marketing of crude oil and refined products, the transporting of crude oil and refined products by pipeline, marine vessel, motor equipment, and rail car, and the manufacturing and marketing of commodity petrochemicals and plastics for industrial uses and fuel & lubricant additives. The company was founded on September 10, 1879 and is headquartered in Houston, TX.",Energy
BECTON DICKINSON & CO,BDX,"Becton, Dickinson & Co. is a global medical technology company, which engages in the development, manufacture, and sale of medical supplies, devices, laboratory equipment, and diagnostic products. It operates through the following segments: BD Medical, BD Life Sciences, and BD Interventional. The BD Medical segment produces medical technologies and devices that are used to help improve healthcare delivery. The BD Life Sciences segment provides products for the safe collection and transport of diagnostics specimens, instruments, and reagent systems to detect infectious diseases, healthcare-associated infections, and cancers. The BD Interventional segment offers vascular, urology, oncology, and surgical specialty products to hospitals, ambulatory surgery centers, individual healthcare professionals, extended care facilities, alternate site facilities, and patients via its Homecare business. The company was founded by Maxwell W. Becton and Fairleigh S. Dickinson in 1897 and is headquartered in Franklin Lakes, NJ.",Health Care
PALANTIR TECHNOLOGIES INC,PLTR,"Palantir Technologies, Inc. engages in the business of building and deploying software platforms that serve as the central operating systems for its customers. It operates through the Commercial and Government segments. The Commercial segment focuses on customers working in non-government industries. The Government segment is involved in providing services to customers that are the United States government and non-United States government agencies. The company was founded by Alexander Ceadmon Karp, Peter Andreas Thiel, Stephen Cohen, Joseph Lonsdale, and Nathan Dale Gettings in 2003 and is headquartered in Denver, CO.",Information Technology
GLOBAL PAYMENTS INC,GPN,"Global Payments, Inc. engages in the provision of payment technology and software solutions. It operates through the Merchant Solutions and Issuer Solutions segments. The Merchant Solutions segment offers payments technology and software solutions globally to primarily small- and-medium sized businesses and select mid-market and enterprise customers. The Issuer Solutions segment is involved in comprehensive commerce solutions supporting the payment ecosystem for issuers. The company was founded by George W. Thorpe in 1967 and is headquartered in Atlanta, GA.",Financials
PFIZER INC,PFE,"Pfizer Inc. is a research-based global biopharmaceutical company, which engages in the discovery, development, manufacture, marketing, sales and distribution of biopharmaceutical products worldwide. The firm works across developed and emerging markets to advance wellness, prevention, treatments and cures that challenge the most feared diseases. The company was founded by Charles Pfizer Sr. and Charles Erhart in 1849 and is headquartered in New York, NY.",Health Care
ALPHABET INC,GOOG,"Alphabet, Inc. is a holding company, which engages in software, health care, transportation, and other technologies. It operates through the following segments: Google Services, Google Cloud, and Other Bets. The Google Services segment includes products and services, such as ads, Android, Chrome, devices, Google Maps, Google Play, Search, and YouTube. The Google Cloud segment refers to infrastructure and platform services, collaboration tools, and other services for enterprise customers. The Other Bets segment relates to the sale of healthcare-related services and internet services. The company was founded by Lawrence E. Page and Sergey Mikhaylovich Brin on October 2, 2015 and is headquartered in Mountain View, CA.",Communication Services
BLOCK INC,XYZ,"Block, Inc. engages in creating ecosystems for distinct customer audiences. It operates through the Square and Cash App segments. The Square segment provides payment services, software solutions, hardware, and financial services to sellers. The Cash App segment includes the financial tools available to individuals within the mobile Cash App, including peer-to-peer payments, bitcoin and stock investments. It also includes Cash App Card, which is linked to customer stored balances that customers can use to pay for purchases or withdraw funds from an ATM. The company was founded by Jack Patrick Dorsey and James Morgan McKelvey in February 2009 and is headquartered in Oakland, CA.",Financials
QUALCOMM INC,QCOM,"QUALCOMM, Inc. engages in developing and commercializing foundational technologies and products used in mobile devices and other wireless products. It operates through the following segments: Qualcomm CDMA Technologies (QCT), Qualcomm Technology Licensing (QTL), and Qualcomm Strategic Initiatives (QSI). The QCT segment develops and supplies integrated circuits and system software based on technologies for use in voice and data communications, networking, application processing, multimedia, and global positioning system products. The QTL segment grants licenses and provides rights to use portions of the firm's intellectual property portfolio. The QSI segment focuses on opening new or expanding opportunities for its technologies and supporting the design and introduction of new products and services for voice and data communications. The company was founded by Franklin P. Antonio, Adelia A. Coffman, Andrew Cohen, Klein Gilhousen, Irwin Mark Jacobs, Andrew J. Viterbi, and Harvey P. White in July 1985 and is headquartered in San Diego, CA.",Information Technology
REALTY INCOME CORP,O,"Realty Income Corp. is a real estate company, which engages in generating dependable monthly cash dividends from a consistent and predictable level of cash flow from operations. The company was founded by William E. Clark, Jr. and Evelyn Joan Clark in 1969 and is headquartered in San Diego, CA.",Real Estate
VISA INC,V,"Visa, Inc. engages in the provision of digital payment services. It also facilitates global commerce through the transfer of value and information among a global network of consumers, merchants, financial institutions, businesses, strategic partners, and government entities. It offers debit cards, credit cards, prepaid products, commercial payment solutions, and global automated teller machines. The company was founded by Dee Hock in 1958 and is headquartered in San Francisco, CA.",Financials
ALEXANDRIA REAL ESTATE EQUITIES INC,ARE,"Alexandria Real Estate Equities, Inc. engages in the provision of space for lease. It offers properties for rent to life science, agriculture technology (agtech), and technology tenants. The company was founded by Alan D. Gold, Gary A. Kreitzer, Joel S. Marcus, and Jerry M. Sudarsky in October 1994 and is headquartered in Pasadena, CA.",Real Estate
TARGET CORP,TGT,"Target Corp. engages in the operation and ownership of general merchandise stores. It offers food and general merchandise, clothing and household goods, electronics, and toys. Its brands include A New Day, All in Motion, Art Class, Auden, AVA & VIV, Boots and Barkley, Brightroom, Bullseye's Playground, Casaluna, Cat & Jack, Cloud Island, Colsie, dealworthy, Embark, Everspring, Favorite Day, Figmint, Future Collective, Gigglescape, Good & Gather, Goodfellow & Co, Hearth & Hand with Magnolia, Heyday, Hyde & EEK! Boutique, JoyLab, Kindfull, Kona Sol, Made By Design, Market Pantry, Mondo Llama, More Than Magic, Opalhouse, Open Story, Original Use, Pillowfort, Project 62, Room Essentials, Shade & Shore, Smartly, Smith & Hawken, Sonia Kashuk, Spritz, Sun Squad, Threshold, Universal Thread, up&up, Wild Fable, Wondershop, Xhilaration, California Roots, Casa Cantina, The Collection, Headliner, Jingle & Mingle, Rosé Bae, Photograph, SunPop, and Wine Cube. The company was founded by George Draper Dayton in 1902 and is headquartered in Minneapolis, MN.",Consumer Staples
BRISTOL MYERS SQUIBB CO,BMY,"Bristol Myers Squibb Co. engages in the discovery, development, licensing, manufacture, marketing, distribution, and sale of biopharmaceutical products. It offers small molecules, products produced from biological processes called biologics, and chimeric antigen receptor (CAR-T) cell therapies. The company was founded in August 1933 and is headquartered in Princeton, NJ.",Health Care
ASML HOLDING NV,ASML,"ASML Holding NV engages in the development, production, marketing, sales, upgrading and servicing of advanced semiconductor equipment systems. It includes lithography, metrology and inspection systems. The company was founded on April 1, 1984 and is headquartered in Veldhoven, the Netherlands.",Information Technology
UNITED PARCEL SERVICE INC,UPS,"United Parcel Service, Inc. is a package delivery company, which engages in the provision of global supply chain management solutions. It operates through the following segments: U.S. Domestic Package, International Package, and Supply Chain Solutions. The U.S. Domestic Package segment includes time-definite delivery of letters, documents, and packages. The International Package segment focuses on delivery and shipments in Europe, Asia, the Indian sub-continent, the Middle East, Africa, Canada, and Latin America. The Supply Chain Solutions is involved in forwarding, logistics, Coyote, Marken, and UPS Mail Innovations. The company was founded by James E. Casey and Claude Ryan on August 28, 1907 and is headquartered in Atlanta, GA.",Industrials
JOHNSON & JOHNSON,JNJ,"Johnson & Johnson is a holding company, which engages in the research, development, manufacture, and sale of products in the healthcare field. It operates through the Innovative Medicine and MedTech segments. The Innovative Medicine segment focuses on immunology, infectious diseases, neuroscience, oncology, cardiovascular and metabolism, and pulmonary hypertension. The MedTech segment includes a portfolio of products used in the interventional solutions, orthopaedics, surgery, and vision categories. The company was founded by Robert Wood Johnson I, James Wood Johnson, and Edward Mead Johnson Sr. in 1887 and is headquartered in New Brunswick, NJ.",Health Care
LILLY ELI & CO,LLY,"Eli Lilly & Co. engages in the discovery, development, manufacture, and sale of pharmaceutical products. The firm's products consist of diabetes, oncology, immunology, neuroscience, and other products and therapies. The company was founded by Eli Lilly in May 1876 and is headquartered in Indianapolis, IN.",Health Care
TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. engages in the manufacture and sale of integrated circuits and wafer semiconductor devices. Its chips are used in personal computers and peripheral products, information applications, wired and wireless communications systems products, and automotive and industrial equipment including consumer electronics such as digital video compact disc player, digital television, game consoles, and digital cameras. The company was founded by Chung Mou Chang on February 21, 1987 and is headquartered in Hsinchu, Taiwan.",Information Technology
EXXON MOBIL CORP,XOM,"Exxon Mobil Corp. engages in the exploration, development, and distribution of oil, gas, and petroleum products. It operates through the following segments: Upstream, Energy Products, Chemical Products, and Specialty Products. The Upstream segment organizes the exploration of crude oil and natural gas. The Energy Products segment includes fuels, aromatics, and catalyst and licensing. The Chemical Products segment offers petrochemicals. The Specialty Products segment provides finished lubricants, basestocks and waxes, synthetics, and elastomers and resins. The company was founded by John D. Rockefeller in 1882 and is headquartered in Spring, TX.",Energy
SPDR S&P 500 ETF TRUST,SPY,"SPDR S&P 500 ETF Trust is an Exchange traded fund. The fund seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the S&P 500® Index. The S&P 500® Index is composed of five hundred selected stocks. SPDR S&P 500 ETF Trust was founded on January 22, 1993 and is headquartered in New York, NY.",
NEXTERA ENERGY INC,NEE,"NextEra Energy, Inc. engages in the provision of renewable energy. It operates through the following segments: FPL and NEER. The FPL segment involves the generation, transmission, distribution, and sale of electric energy in Florida. The NEER segment produces electricity from clean and renewable sources, including wind and solar. The company was founded on December 28, 1925 and is headquartered in Juno Beach, FL.",Utilities
